,city,Long,Lat,Temp (k),Humidity,Cloudiness,Wind Speed,Country,Date
0,fagersta,15.79,60.0,288.45,82,22,1.5,SE,1597619846
1,luderitz,15.16,-26.65,286.75,52,0,7.77,NA,1597619228
2,albany,-73.97,42.6,295.72,60,27,3.07,US,1597619205
3,manga,-1.07,11.66,296.53,89,70,1.88,BF,1597619847
4,te anau,167.72,-45.42,277.35,82,75,0.33,NZ,1597619485
5,punta arenas,-70.92,-53.15,274.98,80,75,8.2,CL,1597619218
6,cape town,18.42,-33.93,280.26,93,100,3.1,ZA,1597619443
7,kaeo,173.78,-35.1,287.59,3,100,4.02,NZ,1597619848
8,ushuaia,-68.3,-54.8,274.15,80,75,13.4,AR,1597619419
9,pampierstad,24.69,-27.78,271.83,86,0,0.57,ZA,1597619848
10,castro,-50.01,-24.79,288.68,94,91,3.08,BR,1597619222
11,dingle,122.67,11.0,298.92,86,39,0.84,PH,1597619533
12,puerto ayora,-90.35,-0.74,294.26,80,36,0.89,EC,1597619495
13,barstow,-117.02,34.9,316.27,9,1,4.6,US,1597619817
14,rikitea,-134.97,-23.12,294.46,79,1,5.51,PF,1597619213
15,bella vista,-94.23,36.43,303.19,35,1,3.6,US,1597619711
16,mar del plata,-57.56,-38.0,283.65,50,90,6.2,AR,1597619490
17,hilo,-155.09,19.73,299.95,62,20,5.7,US,1597619216
18,mataura,168.86,-46.19,278.15,98,80,1.34,NZ,1597619214
19,butaritari,172.79,3.07,300.43,63,99,0.5,KI,1597619480
20,marsa matruh,27.25,31.35,297.15,94,20,2.6,EG,1597619851
21,dolores,-57.68,-36.31,281.59,59,22,3.42,AR,1597619851
22,hermanus,19.23,-34.42,279.82,91,100,0.45,ZA,1597619472
23,los llanos de aridane,-17.92,28.66,297.37,73,10,5.1,ES,1597619526
24,vynohradove,32.94,46.37,290.45,58,0,0.89,UA,1597619852
25,leningradskiy,178.42,69.38,280.73,90,100,1.89,RU,1597619527
26,port alfred,26.89,-33.59,283.85,70,47,5.5,ZA,1597619461
27,bandarbeyla,50.81,9.49,297.27,78,16,13.59,SO,1597619853
28,templin,13.5,53.12,292.38,52,13,3.25,DE,1597619853
29,puerto del rosario,-13.86,28.5,296.15,69,0,5.7,ES,1597619853
30,west wendover,-114.07,40.74,310.15,10,1,4.1,US,1597619854
31,busselton,115.33,-33.65,280.5,84,96,7.71,AU,1597619468
32,vallenar,-70.76,-28.57,289.0,45,0,1.16,CL,1597619854
33,henties bay,14.28,-22.12,285.37,87,0,0.45,NA,1597619672
34,awjilah,21.29,29.11,301.5,47,0,5.63,LY,1597619855
35,miranda,-76.23,3.25,293.15,82,90,2.6,CO,1597619855
36,clyde river,-68.59,70.47,278.15,86,90,9.3,CA,1597619514
37,shingu,135.98,33.73,304.15,58,40,1.0,JP,1597619856
38,statesville,-80.89,35.78,298.62,65,1,1.3,US,1597619856
39,san patricio,-104.7,19.22,303.15,74,20,5.1,MX,1597619471
40,saint-augustin,-58.65,51.23,293.58,56,0,7.51,CA,1597619311
41,bluff,168.33,-46.6,278.15,98,81,1.34,NZ,1597619231
42,meiktila,95.87,20.87,296.18,92,100,7.33,MM,1597619564
43,vaini,-175.2,-21.2,295.15,68,75,4.1,TO,1597619225
44,kawambwa,29.08,-9.79,289.25,33,95,3.09,ZM,1597619857
45,dikson,80.55,73.51,280.35,95,100,5.89,RU,1597619476
46,aksu,80.26,41.12,297.0,22,74,1.8,CN,1597619858
47,upernavik,-56.15,72.79,278.34,67,1,1.88,GL,1597619312
48,sola,167.55,-13.88,300.15,78,90,3.1,VU,1597619541
49,sao mateus,-39.86,-18.72,296.23,88,3,3.41,BR,1597619730
50,torbay,-52.73,47.67,288.78,55,5,4.1,CA,1597619507
51,helena,-112.04,46.59,307.02,11,1,5.7,US,1597619594
52,irapuato,-101.35,20.68,299.15,44,75,4.78,MX,1597619671
53,faanui,-151.75,-16.48,298.51,71,1,5.47,PF,1597619488
54,lebu,-73.65,-37.62,282.63,85,80,1.96,CL,1597619499
55,karratha,116.85,-20.74,291.55,55,33,4.4,AU,1597619704
56,pathein,94.73,16.78,298.4,92,100,2.01,MM,1597619768
57,rio grande,-52.1,-32.03,280.37,92,0,2.29,BR,1597619861
58,anito,125.29,12.45,299.77,85,63,1.05,PH,1597619515
59,tuatapere,167.68,-46.13,278.15,98,52,1.79,NZ,1597619470
60,atuona,-139.03,-9.8,298.86,75,5,7.2,PF,1597619481
61,jiwani,61.74,25.05,301.18,81,98,2.17,PK,1597619862
62,lavrentiya,-171.0,65.58,285.65,63,100,3.39,RU,1597619511
63,bethel,-73.41,41.37,291.56,88,90,4.1,US,1597619564
64,richards bay,32.04,-28.78,289.11,56,81,3.5,ZA,1597619862
65,thompson,-97.86,55.74,289.15,59,75,5.1,CA,1597619515
66,cidreira,-50.21,-30.18,286.02,66,46,3.33,BR,1597619220
67,lorengau,147.27,-2.02,301.82,74,54,4.23,PG,1597619504
68,port said,32.28,31.26,299.15,78,0,3.1,EG,1597619863
69,goderich,-81.72,43.75,295.19,84,44,2.24,CA,1597619747
70,taquari,-51.86,-29.8,285.0,92,62,1.1,BR,1597619864
71,alofi,-169.92,-19.06,298.15,57,75,8.2,NU,1597619612
72,beringovskiy,179.32,63.05,284.45,86,100,3.87,RU,1597619479
73,zima,102.04,53.92,282.01,78,0,0.94,RU,1597619864
74,half moon bay,-122.43,37.46,299.38,72,1,5.1,US,1597619865
75,tiksi,128.87,71.69,280.65,70,1,1.34,RU,1597619221
76,miandrivazo,45.47,-19.52,294.55,61,0,0.41,MG,1597619595
77,touros,-35.46,-5.2,297.15,88,6,3.1,BR,1597619535
78,airai,125.41,-8.93,289.9,61,1,1.2,TL,1597619460
79,aklavik,-135.01,68.22,284.15,81,90,2.6,CA,1597619532
80,nemuro,145.57,43.32,291.66,85,2,3.13,JP,1597619866
81,mahebourg,57.7,-20.41,295.15,73,40,6.7,MU,1597619315
82,ballina,153.57,-28.87,288.06,54,0,4.1,AU,1597619867
83,lata,-8.33,40.16,292.26,88,90,0.45,PT,1597619299
84,presidencia roque saenz pena,-60.44,-26.79,287.49,44,0,2.5,AR,1597619867
85,severo-kurilsk,156.12,50.68,284.24,87,67,2.73,RU,1597619524
86,paris,2.35,48.85,291.37,93,4,1.5,FR,1597619774
87,kodiak,-152.41,57.79,297.15,36,1,5.1,US,1597619215
88,san jose,-121.89,37.34,309.93,35,40,4.1,US,1597619691
89,tuktoyaktuk,-133.04,69.45,284.15,87,90,3.6,CA,1597619225
90,sisimiut,-53.67,66.94,282.38,65,0,2.6,GL,1597619869
91,aguas vermelhas,-41.46,-15.75,292.62,83,5,2.33,BR,1597619869
92,san policarpo,125.51,12.18,300.02,82,97,1.64,PH,1597619688
93,pontian kecil,103.39,1.48,298.33,94,20,1.02,MY,1597619870
94,durban,31.03,-29.86,288.15,58,75,2.6,ZA,1597619870
95,ahipara,173.17,-35.17,287.14,65,92,6.64,NZ,1597619222
96,hambantota,81.12,6.12,299.18,81,98,7.24,LK,1597619509
97,tual,132.75,-5.67,299.08,79,60,8.54,ID,1597619524
98,asau,26.4,46.43,289.82,91,100,0.79,RO,1597619301
99,zarubino,131.09,42.63,295.17,85,50,0.99,RU,1597619871
100,yulara,130.99,-25.24,288.15,44,40,2.1,AU,1597619872
101,acari,-74.62,-15.43,289.04,67,84,1.96,PE,1597619872
102,saint-philippe,55.77,-21.36,287.28,63,40,3.1,RE,1597619469
103,askino,56.58,56.09,283.09,93,100,3.9,RU,1597619872
104,yellowknife,-114.35,62.46,288.84,58,75,4.6,CA,1597619500
105,college,-147.8,64.86,293.62,45,20,1.5,US,1597619734
106,muroto,134.15,33.28,301.15,69,37,4.1,JP,1597619861
107,malindi,40.12,-3.22,297.32,82,86,5.97,KE,1597619587
108,muros,-9.06,42.78,292.59,92,86,5.81,ES,1597619563
109,souillac,57.52,-20.52,292.15,88,75,5.1,MU,1597619483
110,japura,102.35,-0.32,296.0,97,34,0.82,ID,1597619874
111,olafsvik,-23.71,64.89,285.49,88,77,1.84,IS,1597619476
112,nikolskoye,30.79,59.7,286.55,63,0,1.26,RU,1597619543
113,miri,114.01,4.41,298.15,88,20,1.0,MY,1597619875
114,gao,1.64,16.64,306.8,35,3,2.65,ML,1597619597
115,samana,-69.34,19.21,301.15,88,75,2.45,DO,1597619875
116,hobart,147.33,-42.88,283.96,93,75,2.6,AU,1597619466
117,kaitangata,169.85,-46.28,281.48,86,96,1.47,NZ,1597619523
118,saint-louis,-15.0,16.33,305.77,53,30,7.06,SN,1597619876
119,artvin,41.83,41.17,293.15,82,75,4.6,TR,1597619876
120,bredasdorp,20.04,-34.53,281.15,81,99,2.6,ZA,1597619463
121,rabo de peixe,-25.58,37.8,296.15,88,75,5.7,PT,1597619877
122,eschwege,10.07,51.18,292.06,77,90,1.44,DE,1597619877
123,riyadh,46.72,24.69,306.15,17,25,2.6,SA,1597619517
124,suhbaatar,106.21,50.23,286.54,65,92,2.21,MN,1597619878
125,ponta do sol,-17.1,32.67,295.09,69,20,5.1,PT,1597619264
126,saint george,-113.58,37.1,316.78,8,1,3.1,US,1597619460
127,pevek,170.31,69.7,278.19,83,21,7.27,RU,1597619279
128,vestmanna,-7.17,62.16,285.15,93,83,3.1,FO,1597619519
129,shaowu,117.48,27.34,297.82,85,25,0.91,CN,1597619879
130,cherskiy,161.3,68.75,280.08,70,89,6.46,RU,1597619526
131,manali,80.27,13.17,301.15,78,75,1.0,IN,1597619879
132,longyearbyen,15.64,78.22,280.15,70,75,2.1,SJ,1597619493
133,antsohihy,47.99,-14.88,292.13,84,4,1.66,MG,1597619880
134,kavieng,150.8,-2.57,301.88,74,43,4.88,PG,1597619528
135,jamestown,-79.24,42.1,294.95,73,90,1.5,US,1597619480
136,caravelas,-39.25,-17.71,296.45,89,1,3.09,BR,1597619881
137,ancud,-73.82,-41.87,280.52,75,40,3.6,CL,1597619501
138,hithadhoo,73.08,-0.6,301.83,69,87,1.84,MV,1597619214
139,hofn,-15.21,64.25,285.41,81,68,0.75,IS,1597619486
140,east london,27.91,-33.02,285.05,59,29,5.38,ZA,1597619466
141,ilulissat,-51.1,69.22,278.15,60,0,2.6,GL,1597619234
142,salinas,-121.66,36.68,305.87,33,1,6.7,US,1597619882
143,ongandjera,15.07,-17.88,292.46,24,8,2.48,NA,1597619883
144,qaanaaq,-69.36,77.48,277.07,70,3,1.01,GL,1597619472
145,saldanha,17.94,-33.01,280.15,81,100,0.5,ZA,1597619590
146,sao filipe,-24.5,14.9,299.82,80,88,4.37,CV,1597619608
147,qaqortoq,-46.03,60.72,286.15,47,0,3.1,GL,1597619317
148,talnakh,88.4,69.49,287.15,58,72,3.0,RU,1597619578
149,mukdahan,104.5,16.58,296.47,91,100,1.14,TH,1597619884
150,salalah,54.09,17.02,298.15,94,90,2.6,OM,1597619884
151,beausejour,-96.52,50.06,294.83,67,80,2.24,CA,1597619885
152,cabo san lucas,-109.91,22.89,307.03,52,75,8.7,MX,1597619474
153,kulhudhuffushi,73.07,6.62,300.94,79,100,4.13,MV,1597619885
154,hun,15.95,29.13,300.47,35,0,1.5,LY,1597619885
155,port lincoln,135.87,-34.73,287.44,56,84,7.78,AU,1597619539
156,ampanihy,44.75,-24.7,290.87,60,0,2.43,MG,1597619886
157,los angeles,-118.24,34.05,305.08,30,1,1.5,US,1597619784
158,binika,83.8,21.03,297.71,93,100,3.66,IN,1597619886
159,hasaki,140.83,35.73,303.0,83,75,1.5,JP,1597619484
160,nunoa,-70.64,-14.48,282.41,50,77,3.23,PE,1597619887
161,narsaq,-46.05,60.92,286.15,47,0,3.1,GL,1597619240
162,cordoba,-64.18,-31.41,291.31,24,0,6.7,AR,1597619727
163,bozuyuk,30.04,39.91,287.79,82,0,4.1,TR,1597619887
164,leca da palmeira,-8.7,41.19,292.08,100,75,3.1,PT,1597619888
165,behat,77.62,30.17,299.73,79,0,1.67,IN,1597619888
166,correntina,-44.64,-13.34,297.53,35,1,2.1,BR,1597619888
167,nago,127.98,26.59,301.87,88,20,4.31,JP,1597619888
168,tommot,126.29,58.96,282.22,81,99,1.07,RU,1597619889
169,chuy,-53.46,-33.7,281.43,71,0,3.33,UY,1597619498
170,sitka,-135.33,57.05,288.15,82,90,1.78,US,1597619517
171,barrow,-156.79,71.29,278.15,86,90,6.2,US,1597619472
172,ternate,127.4,0.8,300.2,79,8,3.41,ID,1597619890
173,saskylakh,114.08,71.92,287.64,51,52,0.36,RU,1597619234
174,havoysund,24.66,71.0,279.15,87,90,19.0,NO,1597619890
175,karla,24.93,59.37,289.06,59,0,3.6,EE,1597619890
176,provideniya,-173.3,64.38,289.15,63,100,4.0,RU,1597619568
177,masvingo,30.83,-20.06,290.64,27,0,3.5,ZW,1597619891
178,korla,86.15,41.76,298.15,49,19,0.45,CN,1597619891
179,vardo,31.11,70.37,281.15,81,75,11.3,NO,1597619577
180,yumen,97.2,40.28,287.21,33,1,0.9,CN,1597619892
181,arraial do cabo,-42.03,-22.97,294.99,90,93,7.54,BR,1597619474
182,new norfolk,147.06,-42.78,283.65,89,100,0.82,AU,1597619471
183,vao,167.48,-22.67,295.13,85,13,8.2,NC,1597619609
184,awbari,12.78,26.59,300.34,21,0,2.37,LY,1597619893
185,fomboni,43.74,-12.28,297.17,78,41,1.94,KM,1597619893
186,port elizabeth,25.57,-33.92,282.15,70,82,4.1,ZA,1597619535
187,semirom,51.57,31.42,285.55,38,0,0.81,IR,1597619894
188,marrakesh,-8.01,31.63,298.15,50,0,4.1,MA,1597619894
189,san andres,-81.7,12.58,303.15,74,20,3.1,CO,1597619894
190,terrace,-128.6,54.52,297.15,60,75,4.6,CA,1597619825
191,kenora,-94.43,49.82,293.93,37,75,6.7,CA,1597619895
192,nishihara,127.76,26.18,302.23,74,20,3.1,JP,1597619895
193,parfenyevo,43.41,58.48,287.39,97,96,2.88,RU,1597619895
194,guerrero negro,-114.06,27.98,303.59,46,0,7.5,MX,1597619480
195,komsomolskiy,71.72,40.43,299.15,36,21,5.1,UZ,1597619896
196,annau,58.52,37.89,299.15,47,90,3.1,TM,1597619896
197,erdenet,104.08,49.03,283.02,81,96,3.25,MN,1597619897
198,bardiyah,25.09,31.76,297.42,90,1,5.62,LY,1597619897
199,coihueco,-71.83,-36.62,284.15,57,2,3.1,CL,1597619897
200,calvinia,19.78,-31.47,277.47,68,53,1.3,ZA,1597619897
201,ettaiyapuram,77.99,9.14,301.36,58,100,4.76,IN,1597619898
202,geraldton,114.6,-28.77,287.15,76,40,5.7,AU,1597619558
203,ladario,-57.6,-19.0,294.15,94,75,6.2,BR,1597619898
204,maceio,-35.74,-9.67,295.15,94,75,1.0,BR,1597619679
205,mao,4.27,39.89,299.15,88,0,3.1,ES,1597619899
206,rio gallegos,-69.22,-51.62,275.15,74,75,10.3,AR,1597619899
207,khanpur,70.66,28.65,309.07,45,50,3.88,PK,1597619899
208,terney,136.61,45.05,295.21,70,8,1.98,RU,1597619899
209,taoudenni,-3.98,22.68,313.92,7,0,5.63,ML,1597619605
210,kerewan,-16.09,13.49,300.15,94,40,1.0,GM,1597619900
211,tura,90.22,25.52,297.08,97,100,2.74,IN,1597619477
212,rong kwang,100.32,18.34,295.65,93,97,0.68,TH,1597619901
213,iskateley,53.15,67.68,283.37,93,100,3.58,RU,1597619554
214,esperance,121.9,-33.87,280.15,81,42,8.7,AU,1597619462
215,meadow lake,-106.54,34.8,305.39,18,75,3.6,US,1597619902
216,victoria,114.16,22.29,300.01,78,12,3.58,HK,1597619523
217,imbituba,-48.67,-28.24,289.15,77,90,1.0,BR,1597619902
218,nanortalik,-45.24,60.14,279.63,75,41,1.22,GL,1597619503
219,makokou,12.86,0.57,294.67,95,100,2.02,GA,1597619903
220,sioux lookout,-91.92,50.1,294.15,52,40,4.6,CA,1597619903
221,luang prabang,102.13,19.89,295.73,89,100,0.88,LA,1597619903
222,gizo,156.84,-8.1,301.35,74,59,3.82,SB,1597619904
223,praia da vitoria,-27.07,38.73,298.15,83,20,7.91,PT,1597619603
224,spisska bela,20.46,49.19,288.17,93,75,1.0,SK,1597619904
225,atar,-13.05,20.52,312.13,16,63,1.64,MR,1597619904
226,abu samrah,37.18,35.3,293.99,56,0,3.79,SY,1597619905
227,batemans bay,150.18,-35.72,285.53,68,22,0.45,AU,1597619315
228,maarianhamina,19.93,60.1,283.15,87,1,0.5,AX,1597619905
229,port hedland,118.57,-20.32,291.15,100,0,3.1,AU,1597619552
230,flinders,150.86,-34.58,289.02,61,13,4.02,AU,1597619491
231,la ronge,-105.28,55.1,293.15,52,75,5.7,CA,1597619495
232,palana,159.97,59.12,285.75,70,3,5.09,RU,1597619906
233,isangel,169.27,-19.55,297.15,83,90,5.45,VU,1597619525
234,bosobolo,19.9,4.18,295.26,95,100,0.79,CD,1597619906
235,mount gambier,140.77,-37.83,278.15,100,40,3.6,AU,1597619470
236,kavaratti,72.64,10.57,300.73,81,99,7.54,IN,1597619539
237,tamasopo,-99.48,21.93,295.41,81,42,4.0,MX,1597619907
238,slave lake,-114.77,55.28,300.15,47,1,3.6,CA,1597619645
239,taltal,-70.48,-25.4,284.48,76,21,1.5,CL,1597619909
240,georgetown,100.34,5.41,298.5,94,20,1.68,MY,1597619486
241,kamenka,42.77,51.32,285.37,82,1,3.15,RU,1597620072
242,kapaa,-159.32,22.08,300.7,74,90,5.1,US,1597619474
243,kieta,155.63,-6.22,301.96,68,1,0.58,PG,1597619509
244,lagos,3.75,6.58,298.15,88,20,2.1,NG,1597619623
245,san cristobal,-72.22,7.77,303.15,55,40,5.1,VE,1597619598
246,bubaque,-15.83,11.28,299.4,86,100,6.86,GW,1597619560
247,dongsheng,109.98,39.82,288.43,86,100,8.61,CN,1597619911
248,bac lieu,105.72,9.29,299.23,86,80,2.9,VN,1597619911
249,uyuni,-66.83,-20.46,278.32,44,0,12.28,BO,1597619597
250,abha,42.51,18.22,295.08,68,94,1.31,SA,1597619911
251,ambilobe,49.05,-13.2,292.61,84,49,1.24,MG,1597619912
252,bilma,12.92,18.69,307.54,34,37,6.38,NE,1597619912
253,leh,77.58,34.17,290.91,27,0,2.12,IN,1597619548
254,boralday,76.86,43.36,296.15,35,90,3.0,KZ,1597619913
255,westport,-73.36,41.14,292.66,98,100,5.72,US,1597619466
256,yinchuan,106.27,38.47,290.74,77,100,4.26,CN,1597619913
257,jardim,-56.14,-21.48,293.76,95,91,0.47,BR,1597619914
258,kysyl-syr,122.76,63.9,282.9,61,17,2.52,RU,1597619914
259,batagay-alyta,130.41,67.8,279.5,63,14,1.39,RU,1597619914
260,waingapu,120.26,-9.66,297.33,78,11,3.2,ID,1597619914
261,mbanza-ngungu,14.87,-5.25,294.21,84,74,4.4,CD,1597619915
262,springfield,-93.3,37.22,301.72,35,1,3.1,US,1597619915
263,manggar,108.27,-2.88,300.23,77,47,5.12,ID,1597619915
264,pisco,-76.22,-13.7,290.57,72,36,5.1,PE,1597620079
265,bambous virieux,57.76,-20.34,293.13,88,75,5.1,MU,1597619475
266,kembe,21.89,4.62,294.31,95,100,0.8,CF,1597619916
267,harper,-7.72,4.38,296.56,76,18,2.86,LR,1597619507
